Match ID,Stage,Home ID,Home Team,Home Goals,Away Goals,Away ID,Away Team,Winner ID,Winner Name
"R16_M1","Round of 16","B1","Canada","0","4","C2","Morocco","C2","Morocco"
"R16_M2","Round of 16","D2","Paraguay","2","3","I1","France","I1","France"
"R16_M3","Round of 16","C1","Brazil","1","2","I4","Norway","I4","Norway"
"R16_M4","Round of 16","A1","Mexico","3","1","L1","England","A1","Mexico"
"R16_M5","Round of 16","K1","Portugal","1","3","H1","Spain","H1","Spain"
"R16_M6","Round of 16","D1","USA","1","2","G1","Belgium","G1","Belgium"
"R16_M7_A","Round of 16","J1","Argentina","4","0","D3","Australia","J1","Argentina"
"R16_M7_B","Round of 16","J1","Argentina","4","0","G2","Egypt","J1","Argentina"
"R16_M7_C","Round of 16","H2","Cape Verde","1","2","D3","Australia","D3","Australia"
"R16_M7_D","Round of 16","H2","Cape Verde","1","1","G2","Egypt","Draw","Draw"
"R16_M8_A","Round of 16","B4","Switzerland","1","2","K4","Colombia","K4","Colombia"
"R16_M8_B","Round of 16","B4","Switzerland","2","1","L3","Ghana","B4","Switzerland"
